DZN_21,TotJob_21
215410001,209
215410002,83
215410003,149
215410004,447
215410005,132
212420001,92
212420002,318
212420003,705
212420004,103
212420005,191
212420006,1866
212421837,917
212421840,3820
212421841,762
212421842,1486
212421845,1874
212431838,596
212431839,336
212431843,208
212431851,1025
212431852,1018
212431853,3416
212431854,1411
212431855,6010
212431856,4016
212431857,1433
212431858,1830
212431859,404
212431860,1309
212431861,714
212451836,1406
212451847,1524
212451848,384
212451850,135
212451874,554
212460001,171
212460002,270
212460003,432
212460004,44
212461875,317
212461876,875
212461877,383
212461891,253
212471862,297
212471863,515
212481865,15494
212501832,1537
212501833,1375
212501834,199
212501835,874
214410001,412
214410002,225
214410003,450
214410004,107
214410005,175
214420001,1433
214420002,169
214430001,719
214430002,684
214430003,76
214430004,68
214430005,298
214430006,179
214430007,292
214430008,423
214430009,361
214430010,245
214430011,1231
214450001,2529
215420001,542
215430001,227
215430002,2535
215440001,459
215440002,263
215440003,85
215440004,2201
215440005,3570
215440006,959
215450001,280
215450002,349
215450003,277
212512370,753
212512371,639
212512372,406
212512373,764
212512374,177
212512375,1502
212512376,1429
212512377,2299
212512378,1967
212512379,1607
212512410,827
212540001,172
212540002,263
212540003,7360
212540004,171
212542391,541
212542393,539
212542394,901
212542396,1266
212542413,2356
212542414,2311
212552415,101
212552416,238
212552417,331
212562418,1112
212562420,1256
212562423,229
212562424,1669
212562425,79
212562428,279
212562429,556
212562430,287
212572427,2424
212572431,446
212580001,1364
212582426,1061
212592406,2567
212592407,242
212592408,673
212592409,387
212592411,798
212602395,218
212602397,857
212602398,416
212602399,190
212602400,236
212602401,1273
212602403,3665
212602404,516
212602405,241
214460001,369
214460002,310
214460003,288
214460004,347
214460005,656
214460006,268
214460007,641
214460008,378
214460009,164
214460010,1534
214460011,343
214460012,118
214460013,278
214460014,851
214470001,325
214470002,1013
214470003,290
214470004,186
214470005,311
214470006,301
214470007,307
214480001,415
214480002,1135
214480003,135
214480004,1001
214480005,106
214480006,1353
214480007,119
214480008,440
214480009,689
214490001,418
214490002,93
212612100,110
212612101,385
212612102,375
212612103,201
212612113,253
212612114,125
212612115,85
212612116,127
212612117,586
212612118,285
212612141,214
212622104,344
212622105,177
212622106,105
212622107,297
212622108,288
212622109,243
212622110,160
212622111,487
212622112,261
212632432,1560
212632433,659
212632434,2567
212632435,517
212632437,303
212632440,3447
212652461,236
212652462,620
212652463,372
212652464,132
212652465,484
212652466,213
212660001,15
212660002,1286
212660003,521
212660004,230
212660005,28
212660006,3892
212660007,1054
212660008,528
212660009,186
212660010,10
212660011,489
212662476,331
212662481,863
212662482,729
212662484,624
212662485,242
212662486,233
212662487,182
212662489,611
212662490,395
212662492,601
212662493,1231
212662494,612
212662495,682
212672439,153
212672467,272
212672468,284
212672469,290
212672470,1070
212672471,226
212672472,1854
212672474,416
212672475,140
212672477,537
212672478,984
212682495,234
212682496,891
212682497,310
214500001,201
214500002,315
214500003,464
214500004,380
214500005,981
214500006,681
214500007,247
214500008,440
214500009,192
214500010,76
214500011,110
214510001,135
214510002,345
214510003,412
214510004,142
214510005,202
214510006,417
214510007,278
214510008,676
214510009,481
214510010,72
214520001,472
214520002,135
214520003,1904
212692297,95
212692299,1158
212692319,186
212692321,1802
212692322,1381
212692323,189
212692324,165
212702301,1187
212702304,346
212702305,390
212702306,385
212702307,1692
212702308,575
212702309,535
212702310,1294
212702311,300
212702312,225
212710001,266
212712314,2165
212712315,1056
212712316,738
212712317,143
212712325,492
212712328,1407
212712329,463
212722298,140
212722300,1321
212722302,536
212722303,453
212722313,219
212732293,358
212732294,1569
212732295,256
212732296,374
212742508,328
212742509,384
212742510,1548
212752520,198
212752536,1241
212752550,447
212752551,1330
212752552,701
212762553,567
212762554,57
212762555,2820
212762556,187
212762557,150
212762558,263
212762559,604
212772521,2282
212772522,380
212772524,1053
212772527,378
212782531,187
212782538,1919
212782539,901
212782540,203
212782543,2303
212782544,255
212782545,1216
212782546,715
212782547,296
212782548,376
212782549,201
212782566,480
212782568,160
212782569,258
212782570,374
212792560,170
212792561,324
212792562,325
212792563,777
212792572,78
212792573,497
212802525,303
212802526,371
212802528,392
212802542,228
212812523,1509
212812534,1127
212812535,85
212812537,719
212812541,303
212822513,60
212822514,336
212822515,124
212822516,579
212822517,175
212822518,615
212822519,109
212832529,393
212832530,1085
212832532,749
212842511,842
212842512,870
212852533,87
212852564,889
212852565,176
212852567,114
212852571,339
212852574,217
212860001,264
212860002,259
212862498,560
212862500,462
212862503,845
212862504,108
212862505,88
212862506,182
212862507,491
212863731,159
212892931,153
212892932,350
212892933,189
212892935,189
212892936,180
212892937,215
212892938,520
212892939,628
212892940,266
212892941,300
212892942,332
212892943,128
215460001,798
215460002,829
215460003,70
215460004,772
215460005,534
215460006,1100
215460007,846
215460008,139
215470001,464
215470002,169
215470003,440
215470004,189
215470005,88
215470006,139
215470007,369
215470008,496
215470009,164
215480001,371
215480002,284
215480003,463
215480004,1032
215480005,648
215480006,216
215490001,65
215490002,472
215490003,114
215490004,130
215490005,388
215490006,199
215490007,499
215500001,136
215500002,535
215500003,85
215500004,92
215500005,382
215500006,274
215500007,1021
215510001,1164
215510002,199
215510003,700
215510004,659
215510005,1761
215510006,689
215510007,153
215520001,1969
215520002,141
215520003,668
215520004,633
215520005,429
215520006,150
215520007,1062
215520008,130
215520009,243
215520010,612
212932981,1093
212932983,561
212932984,834
212932985,3654
212932987,422
212932988,2676
212932989,442
212932999,356
212933002,37
212950001,423
212950002,165
212950003,495
212953043,340
212953044,280
212953045,280
212970001,3291
212970002,116
212970003,4361
212970004,1308
212973033,85
212973035,467
212973036,681
212973037,331
212973038,474
212990001,71
212993003,52
212993004,410
212993005,221
212993006,423
212993030,152
212993031,104
212993039,94
214530001,257
214530002,529
214530003,453
214540001,399
214540002,1354
214540003,157
214550001,534
214550002,438
214560001,460
214560002,735
214560003,2288
214560004,1424
214560005,53
214560006,170
214560007,5912
215530001,708
215530002,1444
215540001,1128
215540002,231
213003012,500
213003013,245
213003014,804
213003015,814
213003016,259
213003017,1502
213003018,2590
213003019,275
213003020,1074
213033007,749
213033054,277
213033056,380
213033057,198
213033058,295
213033059,1231
213040001,1945
213040002,576
213040003,74
213043011,806
213060001,1264
213063026,244
213063027,1733
213080001,520
213083050,149
213083051,382
213083052,700
213083055,190
214570001,345
214570002,253
214570003,1021
214580001,1238
214580002,362
215550001,596
215550002,584
215560001,1658
215570001,1327
215570002,1376
215580001,1362
215590001,1359
215600001,322
215600002,275
215600003,470
215610001,363
215610002,407
215620001,240
215620002,1345
213090001,223
213092702,381
213092703,1829
213092764,232
213092765,656
213100001,608
213100002,613
213100003,190
213100004,167
213100005,1376
213100006,1227
213102769,949
213102770,987
213122861,293
213122862,347
213122863,58
213122864,338
213122865,408
213122866,172
213122867,244
213122868,211
213132745,247
213132747,514
213132748,487
213132749,508
213162859,234
213162860,314
213162893,1868
213162925,1710
213172911,148
213172912,1100
213172913,1188
213172914,548
213172915,740
213172916,1052
213172917,1960
213172918,571
213172920,392
213172921,652
213172922,527
213172923,338
213172924,625
213172926,311
213182887,132
213182905,336
213182906,228
213182908,238
213182910,297
214590001,350
214590002,329
214590003,679
214590004,294
214600001,1217
214600002,138
214600003,45
214600005,140
214600006,241
214600007,279
215630001,602
215630002,282
215630003,458
215630004,622
215630005,761
215630006,2015
215630007,2789
215630008,742
215630009,4338
215630010,823
215630011,2154
215630012,718
215630013,925
215630014,300
215640001,415
215640002,117
215640003,127
215640004,400
215640005,310
215640006,169
215640007,738
215640008,5934
215640009,90
215640010,3092
215640011,1564
215640012,1032
215640013,2581
215640014,3406
215640015,2983
215640016,870
215640017,490
215640018,2323
215640019,84
215640020,1679
215640021,2141
215640022,1702
215640023,492
215640024,2852
215640025,2185
215640026,1563
215640027,690
215640028,1612
215640029,1037
215640030,1086
215640031,2033
215640032,2144
215640033,719
215640034,284
215640035,1394
215640036,1602
215640037,197
215650001,379
215650002,368
215650003,68
215650004,1380
215650005,342
215650006,828
215650007,1419
215650008,1016
215650009,137
215650010,1143
215660001,1689
215660002,765
215660003,505
215660004,2749
215660005,67
215660006,233
213192188,203
213192189,265
213192214,829
213192215,290
213192250,421
213192251,246
213192252,1076
213192253,443
213192254,414
213210001,427
213210002,880
213210003,32
213212199,1019
213212207,723
213212208,249
213212209,541
213212210,292
213212211,287
213212212,199
213212213,281
213220001,510
213220002,355
213220003,1064
213220004,122
213220005,1815
213222220,232
213222221,172
213222223,321
213222224,667
213222226,554
213222227,1959
213222228,1075
213222230,182
213232237,491
213232239,197
213232240,332
213232241,310
213232248,629
213232249,583
213242233,205
213242234,260
213242235,113
213242236,151
213242238,1015
213242242,7891
213242243,891
213242244,1374
213242245,344
213242246,888
213242247,535
213252190,2519
213252191,432
213252192,560
213252193,944
213252194,1995
213252195,379
213252196,895
213252216,4092
213252218,509
213252219,9545
213260001,210
213260002,370
213260003,40
213260004,143
213262158,812
213262160,469
213262162,698
213262164,685
213262165,197
213262177,1037
213262179,943
213262180,1990
213262181,1372
213262182,2082
213262183,195
213270001,339
213270002,1397
213272198,261
213272200,256
213272201,243
213272202,305
213272203,930
213272204,290
213272205,497
215670001,1437
215670002,1333
215670003,1499
215670004,8250
215670005,202
215670006,1380
215670007,524
215670008,5638
215670009,1121
215680001,1092
215680002,237
215680003,7979
215680004,133
215680005,827
215680006,655
215680007,351
215680008,199
215680009,4281
213280001,67
213280002,271
213281354,651
213281355,344
213281373,286
213291371,915
213311311,580
213311312,184
213321295,456
213321306,277
213321307,852
213321308,534
213331304,234
213331305,279
213331370,264
213340001,221
213340002,133
213341296,191
213341297,78
213341299,239
213341300,560
213341301,375
213341302,281
213341303,338
213350001,130
213350002,4545
213350003,354
213350004,74
213351330,529
213351331,266
213351353,404
213351372,352
213360001,505
213360002,1155
213360003,35
213360004,41
213360005,42
213361338,4598
213361340,310
213361341,581
213361342,155
213371361,127
213371362,691
213371363,223
213371364,251
213371365,407
213371366,282
213371367,1047
213371368,1169
213371369,410
213381333,1272
213381334,622
213381335,573
213381336,43
213381345,310
213381347,3069
213381348,271
213381349,701
213381350,478
213381351,3644
213391313,495
213391324,1047
213391325,320
213401319,438
213401320,2550
213401321,524
213401322,552
213401323,206
213401327,325
213401328,420
215690001,229
215690002,558
215690003,315
215690004,1128
215690005,358
215690006,543
215700001,796
215700002,4111
215700003,3016
215700004,3357
215700005,706
213410001,1137
213410002,1471
213410003,1226
213411383,2063
213411384,512
213411387,233
213411388,741
213411391,244
213421377,1161
213421379,277
213421380,786
213431374,86
213431375,1431
213431390,329
213431392,1933
213431393,1443
213431394,1351
213431395,834
213431396,1308
213431397,677
213431398,201
213431399,460
213431400,578
213431401,413
213431402,388
213441413,337
213441414,809
213441415,247
213441417,407
213441418,261
213441419,388
213441420,215
213441421,457
213441422,1578
213441423,37
213441424,273
213451376,375
213461403,1383
213461404,255
213461405,381
213461406,453
213461407,454
213461408,292
213461409,260
213461410,1548
213461411,888
213461412,437
213461416,259
213471467,860
213471468,673
213471469,1530
213471470,1367
213471471,436
213471472,748
213471474,723
213480001,1740
213480002,1178
213480003,15
213480004,139
213480005,15
213480006,214
213481443,505
213481445,395
213481446,3243
213481447,399
213481449,443
213481450,810
213481452,53
213481453,1822
213481454,1047
213481455,2041
213481456,400
213481458,918
213491444,224
213491451,320
213491473,149
213491475,714
213491477,3
213491478,4183
213491479,391
213491480,179
213500001,313
213501436,553
213501437,563
213511440,921
213511441,1063
213511442,322
213511460,275
213511461,382
213511462,407
213511463,270
213511464,361
213511465,1314
213511466,208
213521425,797
213521426,741
213521427,277
213521428,148
213521429,348
213521430,414
213521431,186
213521432,652
213521433,247
213521435,1631
213521439,162
213530001,1083
213530002,840
213530003,3873
213533380,584
213581545,287
213581558,418
213581559,254
213581560,408
213581561,2548
213590001,1667
213590002,239
213590003,670
213590004,3036
213590005,911
213591533,4921
213601538,2075
214610001,697
214620001,466
214630001,779
214630002,1267
214630003,1118
214630004,349
215710001,105
215710002,477
215720001,555
215720002,552
215730001,351
215740001,665
215740002,132
215740003,138
215750001,715
215750002,546
215750003,206
215760001,49
215760002,259
215760003,783
215770001,82
215770002,2386
215770003,502
215770004,247
215770005,1380
215770006,1013
215780001,1014
215780002,354
215780003,402
215780004,212
215780005,81
213611590,491
213611592,207
213611596,244
213611598,257
213611600,330
213611603,1419
213611605,2466
213611606,1925
213611607,240
213611608,263
213621591,316
213621593,232
213621594,2415
213621595,493
213621597,313
213621599,606
213621601,407
213621602,107
213630001,567
213631378,608
213631381,842
213631607,1801
213631608,1150
213631609,762
213631610,595
213631611,768
213631612,743
213631613,1017
213631614,874
213631615,2024
213631616,1420
213631617,1887
213631618,745
213631619,2071
213631620,1811
213680001,125
213680002,125
213680003,89
213680004,3356
213680005,376
213681571,215
213681574,654
213681575,659
213681577,756
213681578,1295
213681579,230
213681580,643
213681583,352
213681584,497
213681587,1258
213681623,306
213681624,1220
214640001,730
214640002,86
214640003,979
214660001,990
214660002,890
214670001,290
214670002,409
214670003,168
214670004,242
214670005,441
214670007,815
214670008,165
214680001,189
214680002,313
214680003,142
214680004,232
214680005,1012
214680006,193
214680007,21
215790001,14
215790002,963
215800001,3287
215800002,284
215800003,1445
215810001,246
215810002,920
215820001,835
215830001,969
215830002,201
215830003,719
215830004,445
215830005,479
215830006,796
215840001,543
215850001,888
215850002,237
215860001,341
215860002,2375
215860003,3053
215860004,3220
215860005,2859
215870001,513
215870002,267
215870003,591
215880001,872
215880002,766
215880003,471
215890001,216
215890002,526
215900001,750
215900002,784
213703066,2413
213703067,1567
213703069,8804
213703070,108
213710001,1190
213710002,598
213710003,1194
213710004,90
213710005,119
213710006,231
213710007,51
213710008,709
213710009,3664
213710010,4090
213713074,825
213713078,1454
213713080,1556
213713081,501
213713082,411
213713083,488
213720001,923
213720002,727
213723088,836
213723089,1119
213733071,747
213733072,311
213733073,691
213733075,701
213733085,250
213743063,999
213743064,2802
213743090,1329
213753068,1255
213753091,1078
213753092,1081
213753093,2386
213753094,177
213753095,394
213763065,1509
213773119,78
213773126,764
213773127,1048
213773128,1608
213783096,539
213783101,309
213783104,73
213783114,470
213783115,310
213783116,405
213783117,171
213783120,608
213783125,111
213783129,258
213783136,114
213793097,554
213793098,523
213793099,2315
213793100,755
213793102,1358
213793103,638
213793105,1552
213793106,488
213793108,877
213813145,1659
213813146,856
213813148,1065
213813149,276
213813150,337
213823131,1032
213823132,848
213823134,371
213823140,698
213833113,685
213833121,1291
213833122,1221
213833130,1652
213843118,704
213843123,3594
213843124,2515
213850001,389
213853107,246
213853109,1195
213853110,444
213853111,2317
213853112,3077
215910001,1126
215910002,1090
215910003,3384
215910004,553
215910005,914
215920001,170
215920002,1023
215920003,5401